"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Europe & Central Asia (excluding high income)","ECA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29720689244555","2.31199168509263","2.84301893681037","2.75028281661691","3.23213344630092","2.4161062015127","3.18977187244281","3.23474712133122","2.95161717442104","3.76342712786902","3.2295257448144","3.30918899819906","3.0231063936235","3.23138711442878","2.35177409285659","2.21718586594795","2.19714857298621","",
"Egypt, Arab Rep.","EGY","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.139050914401487","0.165478052698403","0.371693678257151","0.413577763035013","0.275338548938362","0.472573348709352","0.473084232791735","0.778551292923197","0.602684294975155","","","","","",
"Euro area","EMU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.43981134516166","","",
"Spain","ESP","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.629328682864615","0.62872569162508","0.790039015160003","0.852907548949809","0.578707982705848","0.704393894013815","0.727736974417393","0.546387423515727","0.580256487617867","0.660670709279431","0.537765082968727","0.524957551548107","0.511946343150068","0.539232589616713","0.51207279322124","0.478089896317112","",
"Estonia","EST","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.42768804908573","4.01106632705134","4.35554030094023","5.4151083955509","2.1745797935832","3.92463658066929","3.4356225989969","2.66877945039823","2.63707071976668","3.02499930295373","2.30506767151811","1.97374078862223","2.40478467275124","2.55471707218069","1.28147261137065","1.42828373141981","","",
"Ethiopia","ETH","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86257875929111","","",
"European Union","EUU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
